U.S. Net Imports of Crude Oil and Petroleum Products
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=mttntus2&f=m
21:27:42 GMT-0500 (Central Daylight Time)
Data source: U.S. Energy Information Administration
Month,U.S. Net Imports of Crude Oil and Petroleum Products Thousand Barrels per Day
Jun 2007,12222
May 2007,12764
Apr 2007,12482
Mar 2007,12682
Feb 2007,10823
Jan 2007,12260
Dec 2006,11556
Nov 2006,11651
Oct 2006,11810
Sep 2006,12937
Aug 2006,13442
Jul 2006,12596
Jun 2006,12918
May 2006,12965
Apr 2006,12039
Mar 2006,11734
Feb 2006,12289
Jan 2006,12737
Dec 2005,12442
Nov 2005,13135
Oct 2005,13354
Sep 2005,12385
Aug 2005,12552
Jul 2005,12666
Jun 2005,12793
May 2005,12626
Apr 2005,12147
Mar 2005,11921
Feb 2005,12493
Jan 2005,12074
Dec 2004,11804
Nov 2004,12417
Oct 2004,12360
Sep 2004,11715
Aug 2004,12598
Jul 2004,12490
Jun 2004,12491
May 2004,12323
Apr 2004,11730
Mar 2004,12325
Feb 2004,11612
Jan 2004,11266
Dec 2003,11043
Nov 2003,10780
Oct 2003,11402
Sep 2003,11908
Aug 2003,11822
Jul 2003,11760
Jun 2003,11936
May 2003,11822
Apr 2003,11546
Mar 2003,10993
Feb 2003,9854
Jan 2003,9892
Dec 2002,9828
Nov 2002,11242
Oct 2002,10931
Sep 2002,10059
Aug 2002,10752
Jul 2002,10785
Jun 2002,10873
May 2002,10859
Apr 2002,10876
Mar 2002,10345
Feb 2002,9729
Jan 2002,10228
Dec 2001,9885
Nov 2001,10669
Oct 2001,10432
Sep 2001,10993
Aug 2001,10573
Jul 2001,10881
Jun 2001,10756
May 2001,11461
Apr 2001,11711
Mar 2001,11194
Feb 2001,10639
Jan 2001,11601
Dec 2000,10958
Nov 2000,10201
Oct 2000,9998
Sep 2000,10841
Aug 2000,11099
Jul 2000,10688
Jun 2000,11107
May 2000,10559
Apr 2000,10427
Mar 2000,9893
Feb 2000,10133
Jan 2000,9134
Dec 1999,8835
Nov 1999,9083
Oct 1999,9651
Sep 1999,9768
Aug 1999,10240
Jul 1999,10779
