Week of,Thousand_Barrels
2/27/2015,19658
2/20/2015,19813
2/13/2015,20399
2/6/2015,19651
1/30/2015,18619
1/23/2015,20515
1/16/2015,20246
1/9/2015,19257
1/2/2015,19353
12/26/2014,19939
12/19/2014,21037
12/12/2014,20465
12/5/2014,19454
11/28/2014,19831
11/21/2014,20480
11/14/2014,19702
11/7/2014,19844
10/31/2014,19607
10/24/2014,20061
10/17/2014,18645
10/10/2014,19595
10/3/2014,19019
9/26/2014,19400
9/19/2014,19177
9/12/2014,19749
9/5/2014,18596
8/29/2014,19955
8/22/2014,19183
8/15/2014,19885
8/8/2014,19825
8/1/2014,20335
7/25/2014,19607
7/18/2014,19311
7/11/2014,19277
7/4/2014,19248
6/27/2014,19433
6/20/2014,18807
6/13/2014,18557
6/6/2014,18025
5/30/2014,18586
5/23/2014,19563
5/16/2014,18855
5/9/2014,19447
5/2/2014,18552
4/25/2014,18849
4/18/2014,18051
4/11/2014,18412
4/4/2014,18289
3/28/2014,18199
3/21/2014,18257
3/14/2014,18783
3/7/2014,19027
2/28/2014,18291
2/21/2014,18283
2/14/2014,18709
2/7/2014,18541
1/31/2014,19110
1/24/2014,20047
1/17/2014,18959
1/10/2014,18858
1/3/2014,18222
12/27/2013,19004
12/20/2013,20484
12/13/2013,20996
12/6/2013,18554
11/29/2013,19973
11/22/2013,19635
11/15/2013,20438
11/8/2013,20297
11/1/2013,20223
10/25/2013,20136
10/18/2013,18269
10/11/2013,18990
10/4/2013,19044
9/27/2013,18681
9/20/2013,19261
9/13/2013,19820
9/6/2013,18360
8/30/2013,18911
8/23/2013,19449
8/16/2013,19337
8/9/2013,19088
8/2/2013,19688
7/26/2013,19664
7/19/2013,19787
7/12/2013,19467
7/5/2013,19239
6/28/2013,20392
6/21/2013,18967
6/14/2013,18419
6/7/2013,17923
5/31/2013,18779
5/24/2013,18286
5/17/2013,18846
5/10/2013,18516
5/3/2013,19100
4/26/2013,17937
4/19/2013,18610
4/12/2013,18461
4/5/2013,18121
3/29/2013,18966
3/22/2013,18873
3/15/2013,17765
3/8/2013,18597
3/1/2013,18296
2/22/2013,18680
2/15/2013,18412
2/8/2013,19048
2/1/2013,18052
1/25/2013,18681
1/18/2013,18645
1/11/2013,17954
1/4/2013,17755
12/28/2012,18894
12/21/2012,18857
12/14/2012,19955
12/7/2012,18825
11/30/2012,18337
11/23/2012,18969
11/16/2012,19437
11/9/2012,19346
11/2/2012,18371
10/26/2012,18326
10/19/2012,19136
10/12/2012,19519
10/5/2012,18719
9/28/2012,18720
9/21/2012,18315
9/14/2012,18334
9/7/2012,17999
8/31/2012,18942
8/24/2012,19116
8/17/2012,18747
8/10/2012,20026
8/3/2012,18946
7/27/2012,19150
7/20/2012,19076
7/13/2012,18596
7/6/2012,18535
6/29/2012,19601
6/22/2012,19064
6/15/2012,18599
6/8/2012,19405
6/1/2012,18226
5/25/2012,18320
5/18/2012,18683
5/11/2012,19013
5/4/2012,18603
4/27/2012,18544
4/20/2012,18756
4/13/2012,18863
4/6/2012,19005
3/30/2012,18186
3/23/2012,18204
3/16/2012,17674
3/9/2012,18571
3/2/2012,18178
2/24/2012,18256
2/17/2012,18237
2/10/2012,18655
2/3/2012,17618
1/27/2012,17704
1/20/2012,19241
1/13/2012,17902
1/6/2012,17811
12/30/2011,18023
12/23/2011,18499
12/16/2011,19324
12/9/2011,18409
12/2/2011,18308
11/25/2011,17946
11/18/2011,18585
11/11/2011,19311
11/4/2011,20037
10/28/2011,18641
10/21/2011,18884
10/14/2011,18329
10/7/2011,18737
9/30/2011,19101
9/23/2011,19083
9/16/2011,19024
9/9/2011,18654
9/2/2011,19386
8/26/2011,19562
8/19/2011,19243
8/12/2011,19414
8/5/2011,20293
7/29/2011,19641
7/22/2011,18426
7/15/2011,18853
7/8/2011,18513
7/1/2011,19232
6/24/2011,18877
6/17/2011,19037
6/10/2011,18806
6/3/2011,19222
5/27/2011,19134
5/20/2011,18916
5/13/2011,18515
5/6/2011,18164
4/29/2011,18332
4/22/2011,19588
4/15/2011,19274
4/8/2011,19258
4/1/2011,19183
3/25/2011,18605
3/18/2011,19310
3/11/2011,19111
