U.S. Imports of Crude Oil
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=mcrimus2&f=m
18:10:05 GMT-0500 (Central Daylight Time)
Data source: U.S. Energy Information Administration
Month,U.S. Imports of Crude Oil Thousand Barrels per Day
Jul 1950,486
Jun 1950,498
May 1950,439
Apr 1950,511
Mar 1950,471
Feb 1950,411
Jan 1950,487
Dec 1949,485
Nov 1949,435
Oct 1949,492
Sep 1949,362
Aug 1949,402
Jul 1949,419
Jun 1949,389
May 1949,409
Apr 1949,398
Mar 1949,358
Feb 1949,446
Jan 1949,456
Dec 1948,469
Nov 1948,431
Oct 1948,406
Sep 1948,381
Aug 1948,351
Jul 1948,370
Jun 1948,325
May 1948,332
Apr 1948,325
Mar 1948,280
Feb 1948,288
Jan 1948,272
Dec 1947,284
Nov 1947,256
Oct 1947,250
Sep 1947,289
Aug 1947,266
Jul 1947,235
Jun 1947,254
May 1947,281
Apr 1947,243
Mar 1947,299
Feb 1947,302
Jan 1947,250
Dec 1946,228
Nov 1946,228
Oct 1946,226
Sep 1946,250
Aug 1946,268
Jul 1946,225
Jun 1946,229
May 1946,242
Apr 1946,249
Mar 1946,220
Feb 1946,242
Jan 1946,223
Dec 1945,242
Nov 1945,247
Oct 1945,237
Sep 1945,184
Aug 1945,233
Jul 1945,245
Jun 1945,187
May 1945,214
Apr 1945,172
Mar 1945,200
Feb 1945,141
Jan 1945,128
Dec 1944,130
Nov 1944,113
Oct 1944,180
Sep 1944,127
Aug 1944,160
Jul 1944,103
Jun 1944,124
May 1944,136
Apr 1944,112
Mar 1944,74
Feb 1944,110
Jan 1944,99
Dec 1943,112
Nov 1943,91
Oct 1943,90
Sep 1943,52
Aug 1943,66
Jul 1943,4
Jun 1943,15
May 1943,2
Apr 1943,6
Mar 1943,4
Feb 1943,0
Jan 1943,8
Dec 1942,8
Nov 1942,2
Oct 1942,4
Sep 1942,8
Aug 1942,10
Jul 1942,4
Jun 1942,18
May 1942,27
Apr 1942,37
Mar 1942,66
Feb 1942,110
Jan 1942,115
Dec 1941,153
Nov 1941,158
Oct 1941,152
Sep 1941,155
Aug 1941,140
Jul 1941,172
Jun 1941,144
May 1941,125
Apr 1941,128
Mar 1941,123
Feb 1941,120
Jan 1941,96
Dec 1940,153
Nov 1940,131
Oct 1940,123
Sep 1940,130
Aug 1940,136
Jul 1940,128
Jun 1940,123
May 1940,132
Apr 1940,106
Mar 1940,93
Feb 1940,78
Jan 1940,63
Dec 1939,75
Nov 1939,104
Oct 1939,100
Sep 1939,103
Aug 1939,93
Jul 1939,95
Jun 1939,122
May 1939,127
Apr 1939,98
Mar 1939,53
Feb 1939,57
Jan 1939,60
Dec 1938,92
Nov 1938,79
Oct 1938,87
Sep 1938,52
Aug 1938,55
Jul 1938,83
Jun 1938,73
May 1938,67
Apr 1938,61
Mar 1938,83
Feb 1938,67
Jan 1938,68
Dec 1937,77
Nov 1937,81
Oct 1937,79
Sep 1937,78
Aug 1937,95
Jul 1937,103
Jun 1937,90
May 1937,85
Apr 1937,87
Mar 1937,66
Feb 1937,22
Jan 1937,36
Dec 1936,84
Nov 1936,92
Oct 1936,95
Sep 1936,95
Aug 1936,97
Jul 1936,85
Jun 1936,88
May 1936,98
Apr 1936,95
Mar 1936,79
Feb 1936,91
Jan 1936,60
Dec 1935,108
Nov 1935,75
Oct 1935,80
Sep 1935,97
Aug 1935,108
Jul 1935,81
Jun 1935,95
May 1935,111
Apr 1935,87
Mar 1935,84
Feb 1935,68
Jan 1935,65
Dec 1934,103
Nov 1934,94
Oct 1934,93
Sep 1934,98
Aug 1934,89
Jul 1934,97
Jun 1934,126
May 1934,97
Apr 1934,95
Mar 1934,78
Feb 1934,108
Jan 1934,90
Dec 1933,93
Nov 1933,63
Oct 1933,56
Sep 1933,69
Aug 1933,119
Jul 1933,110
Jun 1933,71
May 1933,71
Apr 1933,97
Mar 1933,123
Feb 1933,85
Jan 1933,91
Dec 1932,89
Nov 1932,65
Oct 1932,79
Sep 1932,63
Aug 1932,60
Jul 1932,49
Jun 1932,262
May 1932,164
Apr 1932,256
Mar 1932,156
Feb 1932,162
Jan 1932,66
Dec 1931,139
Nov 1931,120
Oct 1931,132
Sep 1931,114
Aug 1931,87
Jul 1931,116
Jun 1931,133
May 1931,146
Apr 1931,139
Mar 1931,120
Feb 1931,171
Jan 1931,140
